time,"Altitude (GPS) (feet)","Average fuel consumption (total) (MPG)","Average speed (mph)","Average speed (GPS) (mph)","Calculated instant fuel rate (gal./h)","Distance to empty (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","Engine Fuel Rate (g/sec)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℉)","Speed (GPS) (mph)","Throttle position (%)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle speed (mph)",Latitude,Longtitude,
17:56:20.433,,,,0,,,,,,,,,,,,,,,,0,,,,,33.7075174,-112.1902321,
17:56:20.440,1291.99475195068,,,,,,,,,,,,,,,,,,,,,,,,33.7075174,-112.1902321,
17:56:20.443,1291.99475195068,,,0,,,,,,,,,,,,,,,,0,,,,,33.7075174,-112.1902321,
17:56:20.445,1291.99475195068,,,0.00131022612188479,,,,,,,,,,,,,,,,0.766555211355452,,,,,33.7075174,-112.1902321,
17:56:20.451,1291.99475195068,,,,,,,,,,,,,,,,,,,,,,,,33.7075174,-112.1902321,
17:56:21.070,,,,0.000995403043029599,,,,,,,,,,,,,,,,0,,,,,33.7075174,-112.1902321,
17:56:21.071,1281.07650731201,,,,,,,,,,,,,,,,,,,,,,,,33.7075174,-112.1902321,
17:56:21.076,1281.07650731201,,,0.000992933339997766,,,,,,,,,,,,,,,,0,,,,,33.7075104,-112.19022648,
17:56:21.084,1291.99475195068,,,0.00313668454302318,,,,,,,,,,,,,,,,0.564183949165542,,,,,33.7075104,-112.19022648,
17:56:21.900,1245.87516065674,,,0.00227764716195529,,,,,,,,,,,,,,,,0,,,,,33.7075104,-112.19022648,
17:56:21.902,1245.87516065674,,,0.00227609750716037,,,,,,,,,,,,,,,,0,,,,,33.7075104,-112.19022648,
17:56:21.903,1291.99475195068,,,0.00234637070350026,,,,,,,,,,,,,,,,0.302868434571332,,,,,33.70753251,-112.19022331,
17:56:22.143,1292.32285597534,,,0.00217140582482421,,,,,,,,,,,,,,,,0,,,,,33.70753251,-112.19022331,
17:56:22.145,1292.32285597534,,,0.00216959493155134,,,,,,,,,,,,,,,,0,,,,,33.7075107,-112.1902399,
17:56:22.146,1292.32285597534,,,,,,,,,,,,,,,,,,,,,,,,33.7075107,-112.1902399,
17:56:22.607,,,,,,,,,,,,,,,,,,,,,,,,0,33.7075107,-112.1902399,
17:56:22.686,,,,,,,,,,1409,1.4,,,,,,,,,,,,,,33.7075107,-112.1902399,
17:56:22.785,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7075107,-112.1902399,
17:56:22.856,1322.29786696289,,,0.00177775214256342,,,,,,,,,,,,,,,,0,,,,,33.7075107,-112.1902399,
17:56:22.859,1322.29786696289,,,0.00177643302756474,,,,,,,,,,,,,,,,0,,,,,33.70749906,-112.19013711,
17:56:22.864,,,,,1.53726421051253,,,,1.18,,,,,,,,,22.76577628446,,,,,1.18,,33.70749906,-112.19013711,
17:56:22.878,1292.32285597534,,,0.0114101238511037,,,,,,,,,,,,,,,,2.03309238021,,,,,33.70749906,-112.19013711,
17:56:23.033,,,,,,,,,,,,,,,,,,,,,22.7450980392157,,,,33.70749906,-112.19013711,
17:56:23.144,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.70749906,-112.19013711,
17:56:23.227,,,,,,,0,87.3514898415648,,,,,,,,,,,,,,,,0,33.70749906,-112.19013711,
17:56:23.320,,,,,,,,,,1419,1.4,,,,,,,,,,,,,,33.70749906,-112.19013711,
17:56:23.387,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70749906,-112.19013711,
17:56:23.452,,33.2335641597042,,,1.64148551292016,284.744673013601,,,1.26,,,,,0.0002662587474624,2.62841586434073,0.00114491261408832,11.3,24.3092187444234,,,,,1.26,,33.70749906,-112.19013711,
17:56:23.559,,,,,,,,,,,,,,,,,,,,,23.1372549019608,,,,33.70749906,-112.19013711,
17:56:23.635,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.70749906,-112.19013711,
17:56:23.784,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,,,0,33.70749906,-112.19013711,
17:56:23.818,,,,,,,,,,1411,1.4,,,,,,,,,,,,,,33.70749906,-112.19013711,
17:56:23.838,1291.99475195068,,,,,,,,,,,,,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:23.839,1291.99475195068,,,0.00930116908916947,,,,,,,,,,,,,,,,0,,,,,33.7076534,-112.1903529,
17:56:23.852,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:23.861,1292.01697932129,,,0.0873962758383908,,,,,,,,,,,,,,,,17.5599496792962,,,,,33.7076534,-112.1903529,
17:56:23.874,1291.99475195068,,,0.112007049526178,,,,,,,,,,,,,,,,8.8803528800724,,,,,33.7076534,-112.1903529,
17:56:23.887,,33.2310620280177,,,1.64148551292016,284.723234787309,,,1.26,,,,,0.000464165230682367,2.62861377082395,0.00199591049193418,11.3,24.3092187444234,,,,,1.26,,33.7076534,-112.1903529,
17:56:23.920,,,,,,,,,,,,,,,,,,,,,22.7450980392157,,,,33.7076534,-112.1903529,
17:56:23.966,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.7076534,-112.1903529,
17:56:23.999,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,,,0,33.7076534,-112.1903529,
17:56:24.055,,,,,,,,,,1433,1.4,,,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:24.079,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:24.132,,33.2296228519028,,,1.66754083852207,284.710903948214,,,1.28,,,,,0.000578010583995156,2.62872761617726,0.00248544551117917,11.3,24.6950793594143,,,,,1.28,,33.7076534,-112.1903529,
17:56:24.357,,,,,,,,,,,,,,,,,,,,,23.1372549019608,,,,33.7076534,-112.1903529,
17:56:24.426,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.7076534,-112.1903529,
17:56:24.503,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.7076534,-112.1903529,
17:56:24.593,,,,,,,,,,1387,1.4,,,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:24.660,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:24.716,,33.2262041456148,,,1.66754083852207,284.681612524657,,,1.28,,,,,0.000848485284974707,2.62899809087824,0.00364848672539124,11.3,24.6950793594143,,,,,1.28,,33.7076534,-112.1903529,
17:56:24.784,,,,,,,,,,,,,,,,,,,,,23.1372549019608,,,,33.7076534,-112.1903529,
17:56:24.839,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.7076534,-112.1903529,
17:56:24.853,1269.66004917725,,,0.769151624886853,,,,,,,,,,,,,,,,4.09359351045845,,,,,33.7076534,-112.1903529,
17:56:24.856,1269.66004917725,,,0.770829346973405,,,,,,,,,,,,,,,,4.09359351045845,,,,,33.7076204,-112.19020847,
17:56:24.873,1291.99475195068,,,0.781118293956064,,,,,,,,,,,,,,,,4.39415350503041,,,,,33.7076204,-112.19020847,
17:56:25.021,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.7076204,-112.19020847,
17:56:25.082,,,,,,,,,,1381,1.4,,,,,,,,,,,,,,33.7076204,-112.19020847,
17:56:25.136,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7076204,-112.19020847,
17:56:25.203,,33.2234879042937,,,1.58937486171634,284.658339810268,,,1.22,,,,,0.00106342338142264,2.62921302897469,0.00457272054011736,11.3,23.5374975144417,,,,,1.22,,33.7076204,-112.19020847,
17:56:25.260,,,,,,,,,,,,,,,,,,,,,23.921568627451,,,,33.7076204,-112.19020847,
17:56:25.316,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.7076204,-112.19020847,
17:56:25.384,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.7076204,-112.19020847,
17:56:25.443,1292.32285597534,,,,,,,,,,,,,,,,,,,,,,,,33.7075837,-112.190265,
17:56:25.445,1292.32285597534,,,0.712872169094512,,,,,,,,,,,,,,,,0,,,,,33.7075837,-112.190265,
17:56:25.471,,,,,,,,,,1375,1.4,,,,,,,,,,,,,,33.7075837,-112.190265,
17:56:25.579,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7075837,-112.190265,
17:56:25.612,,33.2212063458982,,,1.58937486171634,284.638791452585,,,1.22,,,,,0.00124399187124287,2.62939359746451,0.00534916504634435,11.3,23.5374975144417,,,,,1.22,,33.7075837,-112.190265,
17:56:25.670,,,,,,,,,,,,,,,,,,,,,23.921568627451,,,,33.7075837,-112.190265,
17:56:25.727,,,,,,,,,,,,,,,,,,,82.4,,,,,,33.7075837,-112.190265,
17:56:25.784,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.7075837,-112.190265,
17:56:25.841,,,,,,,,,,1409,1.4,,,,,,,,,,,,,,33.7075837,-112.190265,
17:56:25.860,1295.37271154297,,,0.717060966076691,,,,,,,,,,,,,,,,0.782927688885862,,,,,33.7075837,-112.190265,
17:56:25.863,1295.37271154297,,,0.717089528002187,,,,,,,,,,,,,,,,0.782927688885862,,,,,33.70760352,-112.19020282,
17:56:25.876,1291.99475195068,,,0.718113484151715,,,,,,,,,,,,,,,,1.24770945302059,,,,,33.70760352,-112.19020282,
17:56:25.908,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70760352,-112.19020282,
17:56:25.963,,33.2192469637368,,,1.58937486171634,284.622003495983,,,1.22,,,,,0.00139908228962807,2.62954868788289,0.00601605384540068,11.3,23.5374975144417,,,,,1.22,,33.70760352,-112.19020282,
17:56:26.020,,,,,,,,,,,,,,,,,,,,,23.921568627451,,,,33.70760352,-112.19020282,
17:56:26.154,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.70760352,-112.19020282,
17:56:26.325,,,,,,,,,,1381,1.4,,,,,,,,,,,,,,33.70760352,-112.19020282,
17:56:26.382,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70760352,-112.19020282,
17:56:26.449,,33.216535263642,,,1.58937486171634,284.598769690752,,,1.22,,,,,0.00161375089879061,2.62976335649205,0.00693912886479962,11.3,23.5374975144417,,,,,1.22,,33.70760352,-112.19020282,
17:56:26.506,,,,,,,,,,,,,,,,,,,,,24.3137254901961,,,,33.70760352,-112.19020282,
17:56:26.563,,,,,,,,,,,,,,,,,,,82.4,,,,,,33.70760352,-112.19020282,
17:56:26.619,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.70760352,-112.19020282,
17:56:26.688,,,,,,,,,,1382,1.4,,,,,,,,,,,,,,33.70760352,-112.19020282,
17:56:26.764,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70760352,-112.19020282,
17:56:26.854,1310.17233568115,,,1.08433057111223,,,,,,,,,,,,,,,,3.69094482855705,,,,,33.70760352,-112.19020282,
17:56:26.857,1310.17233568115,,,1.08552548602464,,,,,,,,,,,,,,,,3.69094482855705,,,,,33.70758609,-112.19016001,
17:56:26.858,1310.17233568115,,,1.08563611951449,,,,,,,,,,,,,,,,3.69094482855705,,,,,33.70758609,-112.19016001,
17:56:26.876,1291.99475195068,,,1.08628981630912,,,,,,,,,,,,,,,,1.37318733682271,,,,,33.70758609,-112.19016001,
17:56:26.924,,33.2138868805545,,,1.58937486171634,284.576078384678,,,1.22,,,,,0.00182344092461243,2.62997304651788,0.00784079597583344,11.3,23.5374975144417,,,,,1.22,,33.70758609,-112.19016001,
17:56:26.971,,,,,,,,,,,,,,,,,,,,,24.7058823529412,,,,33.70758609,-112.19016001,
17:56:26.991,1292.32285597534,,,,,,,,,,,,,,,,,,,,,,,,33.7075713,-112.1902732,
17:56:26.992,1292.32285597534,,,1.07072145482539,,,,,,,,,,,,,,,,0,,,,,33.7075713,-112.1902732,
17:56:26.993,,,,,,,,,,,,,,,,,,,82.4,,,,,,33.7075713,-112.1902732,
17:56:27.037,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.7075713,-112.1902732,
17:56:27.113,,,,,,,,,,1378,1.4,,,,,,,,,,,,,,33.7075713,-112.1902732,
17:56:27.169,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7075713,-112.1902732,
17:56:27.225,,33.2121832577535,,,1.61543018731825,284.561481770392,,,1.24,,,,,0.00195834569775314,2.63010795129102,0.0084208865003385,11.3,23.9233581294326,,,,,1.24,,33.7075713,-112.1902732,
17:56:27.298,,,,,,,,,,,,,,,,,,,,,24.7058823529412,,,,33.7075713,-112.1902732,
17:56:27.491,,,,,,,,,,,,,,,,,,,82.4,,,,,,33.7075713,-112.1902732,
17:56:27.659,,,,,,,,,,1377,1.4,,,,,,,,,,,,,,33.7075713,-112.1902732,
17:56:27.715,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7075713,-112.1902732,
17:56:27.770,,33.2090944662767,,,1.61543018731825,284.535017051926,,,1.24,,,,,0.00220297311544414,2.63035257870871,0.00947278439640981,11.3,23.9233581294326,,,,,1.24,,33.7075713,-112.1902732,
17:56:27.837,,,,,,,,,,,,,,,,,,,,,25.4901960784314,,,,33.7075713,-112.1902732,
17:56:27.856,1289.87874631836,,,1.03205796078357,,,,,,,,,,,,,,,,0.671080914282679,,,,,33.7075713,-112.1902732,
17:56:27.858,1289.87874631836,,,1.03196732427874,,,,,,,,,,,,,,,,0.671080914282679,,,,,33.7075713,-112.1902732,
17:56:27.859,1289.87874631836,,,1.03195726982488,,,,,,,,,,,,,,,,0.671080914282679,,,,,33.70756221,-112.19020491,
17:56:27.879,1291.99475195068,,,1.03107611914817,,,,,,,,,,,,,,,,0.638533023612023,,,,,33.70756221,-112.19020491,
17:56:27.892,,,,,,,,,,,,,,,,,,,82.4,,,,,,33.70756221,-112.19020491,
17:56:27.959,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.70756221,-112.19020491,
17:56:28.015,,,,,,,,,,1390,1.4,,,,,,,,,,,,,,33.70756221,-112.19020491,
17:56:28.197,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70756221,-112.19020491,
17:56:28.253,,33.206228392276,,,1.69359616412397,284.510460573415,,,1.3,,,,,0.0024300023657796,2.63057960795904,0.0104490101728523,11.3,25.0809399744051,,,,,1.3,,33.70756221,-112.19020491,
17:56:28.311,,,,,,,,,,,,,,,,,,,,,25.4901960784314,,,,33.70756221,-112.19020491,
17:56:28.431,,,,,,,,,,,,,,,,,,,82.4,,,,,,33.70756221,-112.19020491,
17:56:28.492,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,0,,0,33.70756221,-112.19020491,
17:56:28.560,,,,,,,,,,1398,1.4,,,,,,,,,,,,,,33.70756221,-112.19020491,
17:56:28.593,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70756221,-112.19020491,
17:56:28.615,1292.32285597534,,,0.952736402432137,,,,,,,,,,,,,,,,0,,,,,33.7075744,-112.1902694,
